id,no_of_storeys,storey_variable
10767,4,Low
10768,6,Medium
10769,12,high
10770,4,Low
10771,6,Medium
10772,12,high
10773,12,high
10774,13,high
10775,3,Low
10776,14,high
10777,6,Medium
10778,3,Low
10779,3,Low
10780,3,Low
10781,17,high
10782,10,high
10783,19,high
10784,14,high
10785,3,Low
10786,3,Low
10787,21,high
10788,7,Medium
10789,7,Medium
10790,20,high
10791,6,Medium
10792,7,Medium
10793,7,Medium
10794,4,Low
10795,16,high
10796,3,Low
10797,4,Low
10798,4,Low
10799,4,Low
10800,5,Medium
10801,19,high
10802,3,Low
10803,9,high
10804,12,high
10805,3,Low
10806,3,Low
10807,4,Low
10808,6,Medium
10809,3,Low
10810,7,Medium
10811,8,high
10812,3,Low
10813,3,Low
10814,6,Medium
10815,5,Medium
10816,3,Low
10817,4,Low
10818,4,Low
10819,17,high
10820,13,high
10821,36,high
10822,4,Low
10823,11,high
10824,3,Low
10825,4,Low
10826,17,high
10827,4,Low
10828,7,Medium
10829,19,high
10830,3,Low
10831,7,Medium
10832,8,high
10833,7,Medium
10834,4,Low
10835,5,Medium
10836,4,Low
10837,3,Low
10838,3,Low
10839,9,high
10840,18,high
10841,16,high
10842,15,high
10843,6,Medium
10844,15,high
10845,14,high
10846,20,high
10847,17,high
10848,13,high
10849,7,Medium
10850,6,Medium
10851,15,high
10852,6,Medium
10853,3,Low
10854,3,Low
10855,3,Low
10856,3,Low
10857,3,Low
10858,12,high
10859,3,Low
10860,7,Medium
10861,5,Medium
10862,4,Low
10863,10,high
10864,9,high
10865,5,Medium
10866,3,Low
10867,17,high
10868,5,Medium
10869,4,Low
10870,14,high
10871,3,Low
10872,5,Medium
10873,4,Low
10874,4,Low
10875,4,Low
10876,11,high
10877,5,Medium
10878,4,Low
10879,3,Low
10880,4,Low
10881,7,Medium
10882,7,Medium
10883,9,high
10884,4,Low
10885,4,Low
10886,12,high
10887,4,Low
10888,13,high
10889,3,Low
10890,13,high
10891,3,Low
10892,3,Low
10893,4,Low
10894,5,Medium
10895,5,Medium
10896,14,high
10897,3,Low
10898,6,Medium
10899,3,Low
10900,18,high
10901,4,Low
10902,4,Low
10903,6,Medium
10904,7,Medium
10905,3,Low
10906,3,Low
10907,9,high
10908,3,Low
10909,10,high
10910,9,high
10911,13,high
10912,13,high
10913,5,Medium
10914,5,Medium
10915,14,high
10916,15,high
10917,15,high
10918,4,Low
10919,10,high
10920,3,Low
10921,3,Low
10922,6,Medium
10923,5,Medium
10924,3,Low
10925,4,Low
10926,3,Low
10927,3,Low
10928,4,Low
10929,3,Low
10930,3,Low
10931,6,Medium
10932,7,Medium
10933,12,high
10934,17,high
10935,13,high
10936,4,Low
10937,3,Low
10938,3,Low
10939,3,Low
10940,3,Low
10941,3,Low
10942,6,Medium
10943,3,Low
10944,3,Low
10945,8,high
10946,3,Low
10947,14,high
10948,3,Low
10949,11,high
10950,4,Low
10951,9,high
10952,3,Low
10953,3,Low
10954,4,Low
10955,12,high
10956,15,high
10957,10,high
10958,12,high
10959,15,high
10960,3,Low
10961,3,Low
10962,3,Low
10963,12,high
10964,3,Low
10965,3,Low
10966,5,Medium
10967,28,high
10968,3,Low
10969,4,Low
10970,12,high
10971,12,high
10972,18,high
10973,16,high
10974,12,high
10975,3,Low
10976,13,high
10977,11,high
10978,4,Low
10979,4,Low
10980,4,Low
10981,3,Low
10982,3,Low
10983,3,Low
10984,3,Low
10985,3,Low
10986,4,Low
10987,4,Low
10988,20,high
10989,17,high
10990,15,high
10991,22,high
10992,3,Low
10993,7,Medium
10994,10,high
10995,6,Medium
10996,3,Low
10997,12,high
10998,7,Medium
10999,4,Low
11000,3,Low
11001,10,high
11002,3,Low
11003,19,high
11004,4,Low
11005,3,Low
11006,3,Low
11007,7,Medium
11008,6,Medium
11009,20,high
11010,6,Medium
11011,7,Medium
11012,12,high
11013,4,Low
11014,17,high
11015,3,Low
11016,12,high
11017,12,high
11018,6,Medium
11019,3,Low
11020,4,Low
11021,6,Medium
11022,23,high
11023,12,high
11024,4,Low
11025,20,high
11026,23,high
11027,7,Medium
11028,23,high
11029,3,Low
11030,18,high
11031,20,high
11032,6,Medium
11033,25,high
11034,4,Low
11035,8,high
11036,4,Low
11037,3,Low
11038,3,Low
11039,3,Low
11040,3,Low
11041,12,high
11042,11,high
11043,3,Low
11044,5,Medium
11045,22,high
11046,9,high
11047,14,high
11048,6,Medium
11049,4,Low
11050,3,Low
11051,6,Medium
11052,4,Low
11053,3,Low
11054,3,Low
11055,6,Medium
11056,6,Medium
11057,6,Medium
11058,8,high
11059,11,high
11060,7,Medium
11061,10,high
11062,16,high
11063,11,high
11064,4,Low
11065,7,Medium
11066,8,high
11067,10,high
11068,7,Medium
11069,8,high
11070,19,high
11071,15,high
11072,14,high
11073,18,high
11074,4,Low
11075,4,Low
11076,20,high
11077,16,high
11078,11,high
11079,6,Medium
11080,3,Low
11081,20,high
11082,16,high
11083,4,Low
11084,7,Medium
11085,6,Medium
11086,10,high
11087,12,high
11088,4,Low
11089,6,Medium
11090,3,Low
11091,3,Low
11092,9,high
11093,9,high
11094,4,Low
11095,10,high
11096,5,Medium
11097,7,Medium
11098,23,high
11099,5,Medium
11100,14,high
11101,15,high
11102,16,high
11103,4,Low
11104,6,Medium
11105,8,high
11106,3,Low
11107,12,high
11108,12,high
11109,4,Low
11110,7,Medium
11111,7,Medium
11112,19,high
11113,3,Low
11114,16,high
11115,14,high
11116,6,Medium
11117,16,high
11118,3,Low
11119,3,Low
11120,3,Low
11121,4,Low
11122,12,high
11123,3,Low
11124,6,Medium
11125,18,high
11126,3,Low
11127,12,high
11128,4,Low
11129,3,Low
11130,3,Low
11131,5,Medium
11132,4,Low
11133,4,Low
11134,3,Low
11135,13,high
11136,12,high
11137,7,Medium
11138,12,high
11139,5,Medium
11140,3,Low
11141,4,Low
11142,4,Low
11143,3,Low
11144,21,high
11145,4,Low
11146,4,Low
11147,4,Low
11148,4,Low
11149,5,Medium
11150,17,high
11151,4,Low
11152,7,Medium
11153,5,Medium
11154,3,Low
11155,26,high
11156,4,Low
11157,4,Low
11158,7,Medium
11159,4,Low
11160,18,high
11161,3,Low
11162,4,Low
11163,7,Medium
11164,4,Low
11165,4,Low
11166,4,Low
11167,4,Low
11168,5,Medium
11169,3,Low
11170,5,Medium
11171,3,Low
11172,4,Low
11173,3,Low
11174,4,Low
11175,6,Medium
11176,27,high
11177,3,Low
11178,3,Low
11179,4,Low
11180,3,Low
11181,4,Low
11182,4,Low
11183,33,high
11184,3,Low
11185,23,high
11186,9,high
11187,4,Low
11188,4,Low
11189,5,Medium
11190,7,Medium
11191,4,Low
11192,4,Low
11193,6,Medium
11194,3,Low
11195,3,Low
11196,7,Medium
11197,14,high
11198,20,high
11199,5,Medium
11200,5,Medium
11201,4,Low
11202,4,Low
11203,3,Low
11204,6,Medium
11205,17,high
11206,24,high
11207,3,Low
11208,5,Medium
11209,11,high
11210,25,high
11211,20,high
11212,8,high
11213,6,Medium
11214,3,Low
11215,17,high
11216,3,Low
11217,4,Low
11218,4,Low
11219,4,Low
11220,4,Low
11221,3,Low
11222,7,Medium
11223,15,high
11224,3,Low
11225,4,Low
11226,7,Medium
11227,6,Medium
11228,6,Medium
11229,11,high
11230,3,Low
11231,5,Medium
11232,3,Low
11233,4,Low
11234,8,high
11235,3,Low
11236,4,Low
11237,3,Low
11238,3,Low
11239,4,Low
11240,6,Medium
11241,3,Low
11242,4,Low
11243,9,high
11244,8,high
11245,4,Low
11246,4,Low
11247,10,high
11248,4,Low
11249,4,Low
11250,6,Medium
11251,5,Medium
11252,3,Low
11253,3,Low
11254,8,high
11255,4,Low
11256,5,Medium
11257,32,high
11258,3,Low
11259,3,Low
11260,4,Low
11261,4,Low
11262,11,high
11263,3,Low
11264,10,high
11265,21,high
11266,25,high
11267,3,Low
11268,11,high
11269,12,high
11270,7,Medium
11271,24,high
11272,4,Low
11273,4,Low
11274,3,Low
11275,6,Medium
11276,4,Low
11277,6,Medium
11278,6,Medium
11279,4,Low
11280,4,Low
11281,4,Low
11282,4,Low
11283,3,Low
11284,4,Low
11285,3,Low
11286,3,Low
11287,8,high
11288,0,Low
11289,20,high
11290,3,Low
11291,3,Low
11292,4,Low
11293,3,Low
11294,3,Low
11295,3,Low
11296,19,high
11297,3,Low
11298,18,high
11299,7,Medium
11300,11,high
11301,3,Low
11302,6,Medium
11303,4,Low
11304,3,Low
11305,4,Low
11306,3,Low
11307,3,Low
11308,3,Low
11309,3,Low
11310,14,high
11311,29,high
11312,14,high
11313,8,high
11314,8,high
11315,18,high
11316,6,Medium
11317,10,high
11318,4,Low
11319,3,Low
11320,3,Low
11321,4,Low
11322,14,high
11323,17,high
11324,4,Low
11325,4,Low
11326,29,high
11327,4,Low
11328,4,Low
11329,4,Low
11330,4,Low
11331,5,Medium
11332,3,Low
11333,19,high
11334,4,Low
11335,3,Low
11336,3,Low
11337,3,Low
11338,3,Low
11339,3,Low
11340,4,Low
11341,3,Low
11342,4,Low
11343,4,Low
11344,16,high
11345,6,Medium
11346,4,Low
11347,3,Low
11348,3,Low
11349,21,high
11350,11,high
11351,3,Low
11352,3,Low
11353,6,Medium
11354,4,Low
11355,10,high
11356,12,high
11357,6,Medium
11358,3,Low
11359,11,high
11360,3,Low
11361,3,Low
11362,4,Low
11363,3,Low
11364,3,Low
11365,4,Low
11366,4,Low
11367,4,Low
11368,9,high
11369,4,Low
11370,11,high
11371,6,Medium
11372,20,high
11373,21,high
11374,6,Medium
11375,6,Medium
11376,3,Low
11377,3,Low
11378,3,Low
11379,10,high
11380,4,Low
11381,19,high
11382,7,Medium
11383,12,high
11384,4,Low
11385,21,high
11386,8,high
11387,17,high
11388,6,Medium
11389,3,Low
11390,9,high
11391,14,high
11392,4,Low
11393,7,Medium
11394,21,high
11395,17,high
11396,6,Medium
11397,4,Low
11398,4,Low
11399,4,Low
11400,5,Medium
11401,19,high
11402,7,Medium
11403,3,Low
11404,4,Low
11405,3,Low
11406,3,Low
11407,5,Medium
11408,4,Low
11409,24,high
11410,14,high
11411,6,Medium
11412,5,Medium
11413,17,high
11414,7,Medium
11415,4,Low
11416,3,Low
11417,23,high
11418,4,Low
11419,3,Low
11420,15,high
11421,15,high
11422,5,Medium
11423,7,Medium
11424,10,high
11425,3,Low
11426,6,Medium
11427,4,Low
11428,3,Low
11429,3,Low
11430,5,Medium
11431,6,Medium
11432,4,Low
11433,4,Low
11434,4,Low
11435,4,Low
11436,17,high
11437,4,Low
11438,3,Low
11439,4,Low
11440,3,Low
11441,3,Low
11442,13,high
11443,23,high
11444,19,high
11445,3,Low
11446,7,Medium
11447,3,Low
11448,3,Low
11449,5,Medium
11450,6,Medium
11451,19,high
11452,6,Medium
11453,7,Medium
11454,3,Low
11455,3,Low
11456,3,Low
11457,3,Low
11458,3,Low
11459,3,Low
11460,4,Low
11461,3,Low
11462,4,Low
11463,4,Low
11464,3,Low
11465,16,high
11466,16,high
11467,8,high
11468,5,Medium
11469,14,high
11470,6,Medium
11471,3,Low
11472,4,Low
11473,4,Low
11474,23,high
11475,3,Low
11476,15,high
11477,13,high
11478,6,Medium
11479,6,Medium
11480,3,Low
11481,3,Low
11482,4,Low
11483,4,Low
11484,4,Low
11485,4,Low
11486,4,Low
11487,4,Low
11488,6,Medium
11489,4,Low
11490,7,Medium
11491,7,Medium
11492,5,Medium
11493,7,Medium
11494,6,Medium
11495,4,Low
11496,6,Medium
11497,6,Medium
11498,7,Medium
11499,21,high
11500,10,high
11501,15,high
11502,4,Low
11503,3,Low
11504,3,Low
11505,3,Low
11506,4,Low
11507,12,high
11508,4,Low
11509,6,Medium
11510,23,high
11511,3,Low
11512,3,Low
11513,3,Low
11514,23,high
11515,3,Low
11516,3,Low
11517,6,Medium
11518,7,Medium
11519,7,Medium
11520,14,high
11521,3,Low
11522,5,Medium
11523,3,Low
11524,5,Medium
11525,14,high
11526,16,high
11527,16,high
11528,8,high
11529,14,high
11530,3,Low
11531,17,high
11532,3,Low
11533,20,high
11534,3,Low
11535,14,high
11536,17,high
11537,13,high
11538,14,high
11539,22,high
11540,19,high
11541,4,Low
11542,3,Low
11543,4,Low
11544,4,Low
11545,4,Low
11546,4,Low
11547,5,Medium
11548,3,Low
11549,4,Low
11550,6,Medium
11551,3,Low
11552,15,high
11553,15,high
11554,10,high
11555,3,Low
11556,4,Low
11557,4,Low
11558,3,Low
11559,3,Low
11560,5,Medium
11561,3,Low
11562,3,Low
11563,15,high
11564,15,high
11565,4,Low
11566,4,Low
11567,3,Low
11568,3,Low
11569,3,Low
11570,4,Low
11571,3,Low
11572,3,Low
11573,4,Low
11574,18,high
11575,24,high
11576,3,Low
11577,4,Low
11578,13,high
11579,10,high
11580,11,high
11581,3,Low
11582,4,Low
11583,3,Low
11584,3,Low
11585,9,high
11586,4,Low
11587,7,Medium
11588,8,high
11589,4,Low
11590,13,high
11591,7,Medium
11592,25,high
11593,16,high
11594,4,Low
11595,14,high
11596,7,Medium
11597,3,Low
11598,6,Medium
11599,4,Low
11600,4,Low
11601,10,high
11602,4,Low
11603,4,Low
11604,13,high
11605,4,Low
11606,3,Low
11607,23,high
11608,19,high
11609,3,Low
11610,16,high
11611,3,Low
11612,5,Medium
11613,3,Low
11614,3,Low
11615,51,high
11616,3,Low
11617,13,high
11618,3,Low
11619,3,Low
11620,3,Low
11621,12,high
11622,15,high
11623,14,high
11624,5,Medium
11625,3,Low
11626,20,high
11627,16,high
11628,9,high
11629,3,Low
11630,4,Low
11631,22,high
11632,24,high
11633,3,Low
11634,3,Low
11635,3,Low
11636,13,high
11637,4,Low
11638,13,high
11639,4,Low
11640,12,high
11641,4,Low
11642,4,Low
11643,3,Low
11644,4,Low
11645,4,Low
11646,3,Low
11647,3,Low
11648,12,high
11649,21,high
11650,16,high
11651,4,Low
11652,4,Low
11653,4,Low
11654,4,Low
11655,4,Low
11656,4,Low
11657,11,high
11658,13,high
11659,21,high
11660,4,Low
11661,4,Low
11662,4,Low
11663,4,Low
11664,4,Low
11665,4,Low
11666,3,Low
11667,9,high
11668,17,high
11669,3,Low
11670,4,Low
11671,4,Low
11672,11,high
11673,7,Medium
11674,4,Low
11675,11,high
11676,13,high
11677,10,high
11678,13,high
11679,4,Low
11680,10,high
11681,14,high
11682,10,high
11683,4,Low
11684,3,Low
11685,3,Low
11686,4,Low
11687,4,Low
11688,3,Low
11689,3,Low
11690,4,Low
11691,4,Low
11692,3,Low
11693,4,Low
11694,4,Low
11695,7,Medium
11696,3,Low
11697,3,Low
11698,3,Low
11699,4,Low
11700,3,Low
11701,6,Medium
11702,3,Low
11703,3,Low
11704,3,Low
11705,4,Low
11706,4,Low
11707,23,high
11708,4,Low
11709,4,Low
11710,10,high
11711,8,high
11712,18,high
11713,4,Low
11714,6,Medium
11715,12,high
11716,4,Low
11717,10,high
11718,19,high
11719,4,Low
11720,3,Low
11721,8,high
11722,3,Low
11723,5,Medium
11724,14,high
11725,10,high
11726,3,Low
11727,13,high
11728,6,Medium
11729,3,Low
11730,9,high
11731,4,Low
11732,8,high
11733,10,high
11734,5,Medium
11735,4,Low
11736,7,Medium
11737,12,high
11738,6,Medium
11739,7,Medium
11740,3,Low
11741,4,Low
11742,8,high
11743,11,high
11744,3,Low
11745,4,Low
11746,4,Low
11747,10,high
11748,11,high
11749,6,Medium
11750,15,high
11751,14,high
11752,11,high
11753,7,Medium
11754,17,high
11755,3,Low
11756,14,high
11757,13,high
11758,12,high
11759,13,high
11760,15,high
11761,11,high
11762,3,Low
11763,3,Low
11764,3,Low
11765,3,Low
11766,5,Medium
11767,3,Low
11768,13,high
11769,29,high
11770,3,Low
11771,12,high
11772,16,high
11773,11,high
11774,15,high
11775,13,high
11776,13,high
11777,9,high
11778,14,high
11779,3,Low
11780,4,Low
11781,4,Low
11782,4,Low
11783,4,Low
11784,3,Low
11785,4,Low
11786,3,Low
11787,13,high
11788,14,high
11789,18,high
11790,15,high
11791,15,high
11792,8,high
11793,3,Low
11794,3,Low
11795,4,Low
11796,4,Low
11797,3,Low
11798,6,Medium
11799,4,Low
11800,4,Low
11801,4,Low
11802,3,Low
11803,4,Low
11804,18,high
11805,16,high
11806,4,Low
11807,3,Low
11808,3,Low
11809,3,Low
11810,3,Low
11811,3,Low
11812,3,Low
11813,3,Low
11814,3,Low
11815,9,high
11816,9,high
11817,3,Low
11818,3,Low
11819,4,Low
11820,3,Low
11821,7,Medium
11822,19,high
11823,12,high
11824,10,high
11825,3,Low
11826,3,Low
11827,3,Low
11828,3,Low
11829,8,high
11830,3,Low
11831,11,high
11832,4,Low
11833,3,Low
11834,9,high
11835,13,high
11836,15,high
11837,12,high
11838,19,high
11839,18,high
11840,10,high
11841,5,Medium
11842,19,high
11843,4,Low
11844,3,Low
11845,3,Low
11846,5,Medium
11847,3,Low
11848,4,Low
11849,4,Low
11850,10,high
11851,3,Low
11852,3,Low
11853,6,Medium
11854,24,high
11855,4,Low
11856,20,high
11857,8,high
11858,4,Low
11859,3,Low
11860,4,Low
11861,17,high
11862,3,Low
11863,3,Low
11864,3,Low
11865,3,Low
11866,3,Low
11867,3,Low
11868,3,Low
11869,4,Low
11870,20,high
11871,6,Medium
11872,12,high
11873,12,high
11874,4,Low
11875,18,high
11876,9,high
11877,10,high
11878,7,Medium
11879,4,Low
11880,3,Low
11881,3,Low
11882,6,Medium
11883,3,Low
11884,19,high
11885,9,high
11886,3,Low
11887,7,Medium
11888,25,high
11889,20,high
11890,6,Medium
11891,6,Medium
11892,6,Medium
11893,6,Medium
11894,11,high
11895,6,Medium
11896,4,Low
11897,6,Medium
11898,16,high
11899,9,high
11900,9,high
11901,3,Low
11902,7,Medium
11903,4,Low
11904,11,high
11905,5,Medium
11906,3,Low
11907,6,Medium
11908,4,Low
11909,6,Medium
11910,3,Low
11911,5,Medium
11912,3,Low
11913,4,Low
11914,12,high
11915,18,high
11916,5,Medium
11917,3,Low
11918,8,high
11919,3,Low
11920,12,high
11921,6,Medium
11922,13,high
11923,3,Low
11924,3,Low
11925,4,Low
11926,4,Low
11927,7,Medium
11928,7,Medium
11929,5,Medium
11930,3,Low
11931,3,Low
11932,3,Low
11933,4,Low
11934,7,Medium
11935,3,Low
11936,4,Low
11937,5,Medium
11938,4,Low
11939,8,high
11940,3,Low
11941,3,Low
11942,8,high
11943,14,high
11944,3,Low
11945,3,Low
11946,6,Medium
11947,0,Low
11948,10,high
11949,8,high
11950,5,Medium
11951,17,high
11952,4,Low
11953,6,Medium
11954,3,Low
11955,6,Medium
11956,4,Low
11957,5,Medium
11958,4,Low
11959,28,high
11960,3,Low
11961,7,Medium
11962,4,Low
11963,5,Medium
11964,3,Low
11965,18,high
11966,7,Medium
11967,4,Low
11968,7,Medium
11969,5,Medium
11970,3,Low
11971,5,Medium
11972,5,Medium
11973,4,Low
11974,3,Low
11975,7,Medium
11976,4,Low
11977,3,Low
11978,6,Medium
11979,3,Low
11980,4,Low
11981,4,Low
11982,3,Low
11983,3,Low
11984,3,Low
11985,4,Low
11986,23,high
11987,7,Medium
11988,4,Low
11989,7,Medium
11990,4,Low
11991,3,Low
11992,4,Low
11993,7,Medium
11994,18,high
11995,4,Low
11996,3,Low
11997,12,high
11998,24,high
11999,9,high
12000,3,Low
12001,8,high
12002,4,Low
12003,4,Low
12004,4,Low
12005,8,high
12006,5,Medium
12007,4,Low
12008,4,Low
12009,4,Low
12010,3,Low
12011,5,Medium
12012,11,high
12013,14,high
12014,3,Low
12015,4,Low
12016,12,high
12017,30,high
12018,3,Low
12019,13,high
12020,10,high
12021,3,Low
12022,4,Low
12023,4,Low
12024,7,Medium
12025,21,high
12026,7,Medium
12027,6,Medium
12028,6,Medium
12029,18,high
12030,4,Low
12031,9,high
12032,5,Medium
12033,4,Low
12034,4,Low
12035,3,Low
12036,43,high
12037,3,Low
12038,3,Low
12039,3,Low
12040,3,Low
12041,5,Medium
12042,4,Low
12043,3,Low
12044,3,Low
12045,3,Low
12046,4,Low
12047,4,Low
12048,3,Low
12049,3,Low
12050,3,Low
12051,22,high
12052,11,high
12053,8,high
12054,3,Low
12055,29,high
12056,5,Medium
12057,4,Low
12058,4,Low
12059,10,high
12060,4,Low
12061,4,Low
12062,3,Low
12063,24,high
12064,5,Medium
12065,11,high
12066,11,high
12067,6,Medium
12068,6,Medium
12069,6,Medium
12070,6,Medium
12071,7,Medium
12072,9,high
12073,6,Medium
12074,15,high
12075,4,Low
12076,3,Low
12077,3,Low
12078,3,Low
12079,3,Low
12080,6,Medium
12081,3,Low
12082,14,high
12083,13,high
12084,13,high
12085,16,high
12086,6,Medium
12087,3,Low
12088,4,Low
12089,8,high
12090,6,Medium
12091,12,high
12092,4,Low
12093,4,Low
12094,3,Low
12095,4,Low
12096,3,Low
12097,3,Low
12098,11,high
12099,3,Low
12100,4,Low
12101,3,Low
12102,4,Low
12103,11,high
12104,17,high
12105,24,high
12106,3,Low
12107,6,Medium
12108,9,high
12109,16,high
12110,4,Low
12111,5,Medium
12112,14,high
12113,11,high
12114,4,Low
12115,5,Medium
12116,8,high
12117,6,Medium
12118,4,Low
12119,4,Low
12120,7,Medium
12121,4,Low
12122,9,high
12123,8,high
12124,6,Medium
12125,10,high
12126,11,high
12127,9,high
12128,8,high
12129,3,Low
12130,6,Medium
12131,3,Low
12132,3,Low
12133,33,high
12134,10,high
12135,4,Low
12136,4,Low
12137,19,high
12138,4,Low
